a,a@a.com,a,2002-06-10,
anicca,anicca@a.com,anicca,2002-06-10,
ioan,ioan@gmail.com,ioan,2001-07-31,
toni,toni@gmail.com,curtean,2001-07-31,
foo,foo@gmail.com,foo,2001-07-31,
lol,lol@gmail.com,lol,2001-07-31,
lorazepam,lorazepam@gmail.com,lorazepam123,2001-07-31,
larisa,larisa@gmail.com,larisa,2001-07-31,
cipralex,cipralex@gmail.com,cipralex,2001-07-31,
zeus,zeus@gmail.com,zeus,2001-07-31,
corina,corina@gmail.com,corina,2001-07-31,
mircea,mircea@gmail.com,mircea,2001-07-31,
ioana,ioana@gmail.com,ioana,2001-07-31,
maria,maria@gmail.com,maria,2001-07-31,
lexi,lexi@gmail.com,lexi,2001-07-31,
andrei,andrei@gmail.com,andrei,2001-07-31,
